key,en,he,context,notes
dashboard.weather.simple_sun_clouds,Sun and Clouds,,simple weather description,
dashboard.weather.simple_sun_clouds_rain,"Sun, Clouds and Rain",,simple weather description,
dashboard.weather.tap_to_read,Tap to read,,settings label,
dashboard.weather.temp_size,Temp size,,size slider label,
dashboard.weather.temp_unit,Temperature unit,,settings label,
dashboard.weather.unavailable,Weather unavailable,,weather error state,
dashboard.weather.unit_c,°C,,radio option,
dashboard.weather.unit_f,°F,,radio option,
dashboard.weather.wmo_clear,Clear,,weather description,
dashboard.weather.wmo_drizzle,Drizzle,,weather description,
dashboard.weather.wmo_fallback,Weather,,weather description fallback,
dashboard.weather.wmo_fog,Fog,,weather description,
dashboard.weather.wmo_heavy_rain,Heavy Rain,,weather description,
dashboard.weather.wmo_heavy_showers,Heavy Showers,,weather description,
dashboard.weather.wmo_heavy_snow,Heavy Snow,,weather description,
dashboard.weather.wmo_heavy_thunderstorm,Heavy Thunderstorm,,weather description,
dashboard.weather.wmo_overcast,Overcast,,weather description,
dashboard.weather.wmo_partly_cloudy,Partly Cloudy,,weather description,
dashboard.weather.wmo_rain,Rain,,weather description,
dashboard.weather.wmo_showers,Showers,,weather description,
dashboard.weather.wmo_snow,Snow,,weather description,
dashboard.weather.wmo_snow_grains,Snow Grains,,weather description,
dashboard.weather.wmo_snow_showers,Snow Showers,,weather description,
dashboard.weather.wmo_thunderstorm,Thunderstorm,,weather description,
dictionary.advanced.color_enable,Enable color coding,,color coding checkbox,
dictionary.advanced.color_head,Color Code Nikkud,,advanced section title,
dictionary.advanced.color_mode_highlight,Highlight,,color mode button,
dictionary.advanced.color_mode_letter,Letter,,color mode button,
dictionary.advanced.color_mode_underline,Underline,,color mode button,
dictionary.advanced.color_reset,↺ Reset to defaults,,color reset button,leading-emoji
dictionary.advanced.font_head,Hebrew Font,,advanced section title,
dictionary.advanced.font_size,Size,,font size row label,
dictionary.advanced.font_size_reset_title,Reset to default,,font size reset button title,aria-label only
dictionary.advanced.panel_title,Advanced,,filter panel title,
dictionary.audio.head,Audio,,advanced section title,
dictionary.audio.show_button,Show pronunciation button,,audio checkbox,
dictionary.audio.tts_fast,Fast,,tts rate scale label,
dictionary.audio.tts_slow,Slow,,tts rate slider min label,
dictionary.audio.tts_slower,Slower,,tts rate scale label,
dictionary.audio.tts_speed_label,Hebrew TTS Reading Speed,,tts rate label,
dictionary.card.aria_view_details,View details for {word},,word card aria-label,aria-label only; mixed UI+content — do not translate {…}
dictionary.card.copy_hebrew_title,Copy Hebrew,,word card copy button title/aria,aria-label only
dictionary.card.google_title,Look up on Google,,word card search link title/aria,aria-label only
dictionary.card.hear_title,Hear pronunciation,,word card speak button title/aria,aria-label only
dictionary.chips.any_letters,Any: {letters},,active filter chip,mixed UI+content — do not translate {…}
dictionary.chips.any_only_suffix,(only),,active filter chip suffix,
dictionary.chips.body_aria,{label} — show filter,,filter chip body aria-label,aria-label only
dictionary.chips.categories,Categories: {count}/{total},,active filter chip (emoji),
dictionary.chips.emoji_fem_only,♀ Fem only,,active filter chip (emoji),leading-emoji
dictionary.chips.emoji_masc_only,♂ Masc only,,active filter chip (emoji),leading-emoji
dictionary.chips.era_biblical_only,Era: Biblical only,,active filter chip,
dictionary.chips.era_modern_only,Era: Modern only,,active filter chip,
dictionary.chips.era_none,Era: none,,active filter chip,
dictionary.chips.gematria,Gematria {op} {value},,active filter chip,
dictionary.chips.hiding_vowelless,Hiding vowelless,,active filter chip,
dictionary.chips.length,Length: {count}/{total},,active filter chip,
dictionary.chips.pos,POS: {count}/{total},,active filter chip,
dictionary.chips.position_letters,{ordinal} letter: {letters},,active filter chip,mixed UI+content — do not translate {…}
dictionary.chips.remove_aria,Remove {label} filter,,filter chip remove aria-label,aria-label only
dictionary.chips.reset_all,Reset all ✕,,reset-all chip,leading-emoji
dictionary.chips.reset_all_aria,Reset all filters,,reset-all chip aria-label,aria-label only
dictionary.chips.search,"Search: ""{query}""",,active filter chip,mixed UI+content — do not translate {…}
dictionary.chips.vowels,Vowels: {count}/{total},,active filter chip,
dictionary.copy.allinfo_tip,"Copies: Hebrew word — transliteration — translation — part of speech — era. Gematria value is appended if ""Show Gematria Value"" is enabled.",,all-info tooltip,
dictionary.copy.allinfo_worksheet_tip,Select this option when using Bulk Copy to generate a manual input list for the Worksheet Generator.,,all-info gold tooltip,
dictionary.copy.bulk_clear,Clear,,bulk clear button,
dictionary.copy.bulk_count,{count} selected,,bulk selection count,
dictionary.copy.bulk_hint,"While Bulk Copy is on, clicking a card selects it (instead of opening its details).",,bulk copy hint,
dictionary.copy.bulk_mode,Bulk Copy Mode,,bulk copy checkbox,
dictionary.copy.bulk_mode_title,Select multiple words from the results. Each selected word is added to a text box below — one per line — in whatever Copy Mode is active.,,bulk copy checkbox title,aria-label only
dictionary.copy.copied_flash,✓ Copied!,,copy button flash (word modal / share link),leading-emoji
dictionary.copy.copied_toast,Copied to clipboard,,copy announce,toast
dictionary.copy.copy_all,Copy All,,bulk copy-all button,
dictionary.copy.link_copied_toast,Link copied to clipboard,,share-link announce,toast
dictionary.copy.mode_allinfo,All info,,copy mode radio,
dictionary.copy.mode_defonly,Definition,,copy mode radio,
dictionary.copy.mode_label,Copy Mode,,copy mode subheading,
dictionary.copy.mode_tip,Changes the format used when clicking the copy button on a word card.,,copy mode tooltip,
dictionary.copy.mode_transdef,Word — Transliteration — Definition,,copy mode radio,
dictionary.copy.mode_word,Word,,copy mode radio,
dictionary.copy.mode_word_def,Word — Definition,,copy mode radio,
dictionary.copy.opts_head,Copy Options,,advanced section title,
dictionary.copy.select_all_matching,Select all matching,,bulk select-all button,
dictionary.copy.select_page,Select page,,bulk select-page button,
dictionary.empty.clear_search,Clear search,,empty state button,
dictionary.empty.no_emojis_match,No emojis match these filters,,empty state,empty state
dictionary.empty.no_words_match,No words match these filters,,empty state,empty state
dictionary.empty.reset_all,Reset all filters,,empty state button,
dictionary.export.anki_button,⬇ Export for Anki,,export button,leading-emoji
dictionary.export.count.one,{count} word selected for export.,,export count,plural
dictionary.export.count.other,{count} words selected for export.,,export count,plural
dictionary.export.err_select_first,Select words using Bulk Copy Mode first.,,export error / word-list error,
dictionary.export.head,Export Selected Words,,export subheading,
dictionary.export.hint,Active when Bulk Copy Mode is on and at least one word is selected.,,export hint,
dictionary.export.instructions,Anki: import via File → Import. Quizlet: use Import from Word/Excel on the study set creation page.,,export instructions,
dictionary.export.quizlet_button,⬇ Export for Quizlet,,export button,leading-emoji
dictionary.faq.a_era,"Yes. Filter by era — biblical, mishnaic, medieval, and modern Hebrew.",,footer FAQ answer,
dictionary.faq.a_free,Yes. Free under CC BY-NC-SA 4.0; word data sourced from Kaikki.org.,,footer FAQ answer,
dictionary.faq.a_lookup,"Type the Hebrew word (with or without nikkud), or use filters to browse by length, part of speech, era, or letter position.",,footer FAQ answer,
dictionary.faq.a_pos,"Yes. Filter by noun, verb, adjective, adverb, and others, combined with length and era filters.",,footer FAQ answer,
dictionary.faq.a_share,Yes. Click 🔗 Copy link in the results toolbar to copy a link that reopens this exact filtered view — send it to your class. Your last-used filters also come back automatically on your next visit. New here? Click ❓ Tour in the header for a quick 7-step walkthrough.,,footer FAQ answer,html; leading-emoji
dictionary.faq.q_era,Modern and biblical Hebrew?,,footer FAQ question,
dictionary.faq.q_free,Is it free?,,footer FAQ question,
dictionary.faq.q_lookup,How do I look up a Hebrew word?,,footer FAQ question,
dictionary.faq.q_pos,Can I filter by part of speech?,,footer FAQ question,
dictionary.faq.q_share,Can I share or save my filters?,,footer FAQ question,
dictionary.faq.summary,Frequently Asked Questions,,footer FAQ summary,
dictionary.filters.all_words,All Words,,word-length checkbox,
dictionary.filters.any_letters_head,Any of these letters,,any-letter section header,
dictionary.filters.any_no_others,No other letters?,,any-letter checkbox,
dictionary.filters.dagesh_tav,Dagesh Tav / Sav,,letter filter toggle,
dictionary.filters.emoji_all,All,,emoji category select-all,
dictionary.filters.emoji_gender_all,All,,emoji gender button,
dictionary.filters.emoji_gender_fem,♀ Fem,,emoji gender button,leading-emoji
dictionary.filters.emoji_gender_masc,♂ Masc,,emoji gender button,leading-emoji
dictionary.filters.emoji_none,None,,emoji category select-none,
dictionary.filters.era_biblical,Biblical,,era checkbox,
dictionary.filters.era_head,Era,,era subheading,
dictionary.filters.era_modern,Modern,,era checkbox,
dictionary.filters.hide_no_vowels,Hide words with no vowels,,vowel filter checkbox,
dictionary.filters.len_2,2-Letter,,word-length checkbox,
dictionary.filters.len_3,3-Letter,,word-length checkbox,
dictionary.filters.len_4,4-Letter,,word-length checkbox,
dictionary.filters.len_5,5-Letter,,word-length checkbox,
dictionary.filters.len_6,6-Letter,,word-length checkbox,
dictionary.filters.len_7,7-Letter,,word-length checkbox,
dictionary.filters.len_8plus,8+ Letter,,word-length checkbox,
dictionary.filters.len_prefix,Prefixes/Suffixes,,word-length checkbox,
dictionary.filters.length_panel_title,Word Length,,filter panel title,
dictionary.filters.letter_panel_title,Filter by Letter,,filter panel title,
dictionary.filters.mobile_button,⚙ Filters,,mobile filters button,leading-emoji
dictionary.filters.mode_emojis,Emojis,,mode switcher button,
dictionary.filters.mode_shoresh,Shoresh,,mode switcher button,
dictionary.filters.mode_words,Words,,mode switcher button,
dictionary.filters.pos_all,All,,POS select-all button,
dictionary.filters.pos_clear_title,Clear,,letter-position clear button title,aria-label only
dictionary.filters.pos_letter_heading,{ordinal} Letter,,letter-position section header,
dictionary.filters.pos_none,None,,POS select-none button,
dictionary.filters.pos_panel_title,Part of Speech,,filter panel title,
dictionary.filters.vowel_note,Show only words whose vowels are all in the selected set.,,vowel filter note,
dictionary.filters.vowel_panel_title,Filter by Vowel,,filter panel title,
dictionary.gematria.enable_sort,Enable Sort By Gematria Value,,gematria sort checkbox,
dictionary.gematria.enable_sort_tip,"Adds Gematria ↑ and Gematria ↓ options to the Sort menu, letting you order words by their total Gematria value.",,gematria sort tooltip,
dictionary.gematria.filter_exact,Exact value,,gematria filter option,
dictionary.gematria.filter_gte,Equal to / above (≥),,gematria filter option,
dictionary.gematria.filter_head,Filter by Gematria,,gematria filter subheading,
dictionary.gematria.filter_lte,Equal to / below (≤),,gematria filter option,
dictionary.gematria.filter_none,No filter,,gematria filter option,
dictionary.gematria.filter_range,Range,,gematria filter option,
dictionary.gematria.opts_head,Gematria Options,,advanced section title,
