Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
אִיסְלַנְדִּית,islandít,noun,Icelander (female),,
אִיסְלַנְדִּית,islandít,proper noun,"Icelandic (a North Germanic language, the national tongue of Iceland)",,
אִיפְּכָא מִסְתַּבְּרָא,ípcha mistábra,adverb,on the contrary,,
אִיקְס,'iks,noun,letter X,,
אִיקְס־עִיגּוּל,iks-igúl,noun,Tic-tac-toe.,,
אִירְלַנְד,írland,proper noun,Ireland (an island and country in northwestern Europe),,
אִירִית,irit,proper noun,"Irish (the Gaelic language indigenous to Ireland, also known as Irish Gaelic)",,
אִירָאן,irán,proper noun,Iran (a country in West Asia in the Middle East),,
אִירָאנִי,iráni,adjective,Iranian,,
אִירָאנִי,iráni,noun,an Iranian man,,
אִירוֹנִי,iróni,adjective,ironic,,
אִירוּס,'írus,noun,iris,,
אִישִׁי,ishí,adjective,"personal, for one person",,
אִישִׁי,ishí,adjective,"personal, private",,
אִישִׁי,ishí,adjective,personalized,,
אִישִׁיּוּת,ishiyút,noun,A person's personality.,,
אִישִׁיּוּת,ishiyút,noun,"A personality, a person, especially a person of note.",,
אִישִׁית,'ishít,adverb,personally,,
אִישׁ,'ish,noun,"A man, adult male human being.",,
אִישׁ,'ish,noun,"husband (a man in a marriage or marital relationship, especially in relation to his spouse)",Biblical,
אִישׁ,ish,noun,man / husband,Both,
אִישׁ,'ish,pronoun,Anyone.,Biblical,
אִישׁ דְּבָרִים,ísh dvarím,noun,one who is eloquent or fluent in one's speech,Biblical,
אִישׁ עֲסָקִים,ísh-asakím,noun,A businessman: a man in business.,,
אִישׁ קַשׁ,ish kash,noun,"straw purchaser, strawperson",,
אִישׁ שֶׁלֶג,ísh shéleg,noun,snowman,,
אִישׁוֹן,ishón,noun,A small man: a term of endearment or of disparagement.,,
אִישׁוֹן,ishón,noun,"bullseye (the centre of a target, inside the inner and magpie)",Modern,
אִישׁוֹן,ishón,noun,"pupil (the hole in the middle of the iris of the eye, through which light passes to be focused on the retina)",,Deut 32:10
אִיתַי,itay,proper noun,"a male given name, Itai or Itay",,
אִיתָמָר,ítamar,proper noun,"Itamar (a settlement in the West Bank, Judea and Samaria Area district, Israel)",,
אִיתָמָר,ítamar,proper noun,a male given name,,
אִכְזֵב,ikhzév,verb,"To disappoint: to be or cause a disappointment, or to cause a feeling of disappointment.",,
אִכְלֵס,ikhlés,verb,To populate: to supply with inhabitants.,,
אִכְפַּת,'ikhpát,adverb,Used to indicate someone's care or concern about something,,
אִכֵּל,'ikél,verb,to consume,,
אִכֵּל,'ikél,verb,to corrode,,
אִכָּר,ikár,noun,"farmer, husbandman",Biblical,
אִכָּר,ikár,noun,peasant,,
אִלְּמוּת,'ilmút,noun,mutism,,
אִלְמָלֵא,'ilmalé,conjunction,"unless, if not",,
אִלְמָלֵא,'ilmalé,conjunction,"without, were it not for",,
אִלְתִּית,iltít,noun,salmon,,
אִלְתֵּר,iltér,verb,To improvise.,,
אִלְתּוּר,iltúr,noun,improvisation,,
אִלְתּוּר,iltúr,noun,something that was improvised,,
אִלֵּם,ilém,noun,A mute (person unable to speak).,,
אִלֵּם,ilém,verb,"to bundle, bind.",Biblical,
אִלֵּף,iléf,verb,to restrain,Biblical,
אִלֵּף,iléf,verb,"to tame, to train",Biblical,
אִלֵּף,iléf,verb,to teach,Biblical,
אִלּוּץ,iluts,noun,"constraint; (in plural) restrictions, limitations",,
אִם,im,conjunction,if / whether,Both,
אִם,im,conjunction,"if, whether",,
אִם,im,conjunction,"in case, if",,
אִם,im,conjunction,or,,
אִם וְ רַק אִם,'im v'rak 'im,conjunction,if and only if,,
אִם יִרְצֶה הַשֵּׁם,im yirtsé hashém,interjection,God willing,,
אִם כְּבָר אָז כְּבָר,im k'vár az k'vár,phrase,"if we do it, let’s do it right; in for a penny, in for a pound",,
אִמְלֵל,imlél,verb,"to make miserable, to sadden",,
אִמֵּן,'imén,verb,to train,,
אִמֵּץ,ʾiméts,verb,to adopt,,
אִמֵּץ,ʾiméts,verb,to strain,,
אִמֵּר,imér,proper noun,a male given name,,archaic
אִמֵּת,'imét,verb,"to authenticate, to verify",,
אִמָּא,imma,noun,mom / mother (affectionate),Both,Aramaic origin
אִמָּא,'íma,noun,mother,,
אִמָּה,imá,noun,"printing form, matrix",,
אִמָּהִי,imahi,adjective,maternal,,
אִמָּהִי,imahi,adjective,motherly,,
אִמּוּנִית,imunít,noun,tracksuit,,
אִמּוּץ,imuts,noun,adoption,,
אִנְפּוּף,inpúf,noun,"nasalization, the process of articulating a vowel or consonant by letting air flow through both the mouth as well as the nose",,
אִנְתִּיפָדָה,intifáda,noun,"intifada (an uprising, especially by Palestinians)",,
אִסְטְנִיס,istnís,noun,"finicky or squeamish person, someone delicate or oversensitive to physical discomfort",,Mishnaic; Medieval
אִסְלָאם,islám,proper noun,Islam,,
אִסְלָאם סוּנִי,'islam suni,proper noun,Sunni Islam,,
אִסְלָאם שִׁיעִי,'islam shi'i,proper noun,Shi'a Islam,,
אִסְלָאמִי,islámi,adjective,Islamic: of or pertaining to Islam.,,
אִסּוּף,isúf,noun,"gathering, collection",,
אִסּוּר,isúr,noun,"prohibition, ban",,
אִפְיֵן,ifyén,verb,to characterize,,
אִפְנוּן,ifnún,noun,signal modulation,,
אִפְשֵׁר,ifshér,verb,To permit (an action): to grant permission for.,,
אִפְשֵׁר,ifshér,verb,"To permit: to enable, to make possible.",,
אִפֵּר,ipér,verb,to apply makeup (to someone),,
אִפֵר,ifér,verb,to ash (tip residue from a cigarette),,
אִפֵר,ifér,verb,to turn into or cover in ash,,
אִפּוּל,ipúl,noun,darkness,,
אִפּוּר,ipúr,noun,"makeup, cosmetics",,
אִצְטְרֻבָּל,itstrubál,noun,pinecone,,Mishnaic; Medieval
אִצְטַדְיוֹן,itstadyón,noun,stadium,,
אִרְגֵן,irgén,verb,to organize,,
אִרְגּוּן,irgún,noun,organization,,
אִרְגּוּן,irgún,noun,"planning, method",,
אִרְגּוּן,irgún,proper noun,The Irgun.,,
אִשְׁפֵּז,ishpéz,verb,to hospitalize,,
אִשְׁרֵר,ishrér,verb,"to officially adopt, to ratify (give formal consent to); to give a final validation to something after it has passed through a lower jurisdiction (e.g. a prime minister validating a bill which has passed through parliament).",,
אִשֵּׁר,ishér,verb,"to approve, allow",Biblical,
אִשֵּׁר,ishér,verb,to confirm,,
אִשֶּׁה,ishé,noun,burnt offering,,
אִשָּׁה,ishá,noun,a female animal,Biblical,
אִשָּׁה,ishá,noun,"wife (a married woman, especially in relation to her spouse)",Biblical,
אִשָּׁה,ishá,noun,woman (an adult female human),Biblical,
אִשָּׁה,ishah,noun,woman / wife,Both,
אִשּׁוּם,'ishúm,noun,"count, indictment",,
אִתְגֵּר,itgér,verb,to challenge,,
אִתֵּר,'itér,verb,to localize,,
אֵב,ev,noun,fresh growth / bud,Biblical,"Job 8:12, Song 6:11"
אֵב,év,noun,"state of growth, development",,
אֵב,év,noun,"swelling, spreading.",,
אֵב,év,noun,"the young shoots of a tree, opposed to the branches growing directly from the trunk.",Biblical,
אֵבֶל,ével,noun,"mourning, bereavement",,
אֵבֶר,'éver,noun,"limb, organ",,
אֵבֶר,'éver,noun,penis,,colloquial
אֵבֶר,'éver,noun,"pinion, wing",Biblical,
אֵבוֹלוּצְיוֹנִי,evolutsyóni,adjective,evolutionary (of or relating to evolution),,
אֵבוּז,evúz,noun,"buttocks, extremity",,
אֵגוֹצֶנְטְרִי,egotséntri,adjective,egocentric (egotistical),,
אֵד,ed,noun,a mist,Biblical,
אֵד,ed,noun,"a vapour, a fume",Biblical,
אֵד,ed,noun,mist / vapor,Biblical,Gen 2:6
אֵדֶלְשְׁטֵיין,édelshteyn,proper noun,"a surname, equivalent to English Edelstein",,
אֵדֶר,éder,noun,A mounted animal: an animal skin that has been stuffed and mounted for display.,,
אֵהוּד,ehúd,proper noun,Ehud (biblical character),,
אֵהוּד,ehúd,proper noun,"a male given name, Ehud",,
אֵזוֹב,ʾēzṓḇ,noun,hyssop,Biblical,
אֵזוֹר,ezór,noun,a girdle,Biblical,archaic
אֵזוֹר,ezór,noun,a sector,,
אֵזוֹר,ezór,noun,"an area, region, zone",,
אֵזוֹר שֵׁרוּת,ezór sheirút,noun,rest area,,
אֵטִימוֹלוֹגְיָה,etimológya,noun,"etymology (the entire catalogue of meanings that a word, morpheme, or sign has carried throughout its history)",,
אֵטִימוֹלוֹגְיָה,etimológya,noun,"etymology (the scientific study of the origin and evolution of a word's semantic meaning across time, including its constituent morphemes and phonemes)",,
אֵטוּן,'etún,noun,"fine linen, thread",Biblical,
אֵי מִ זֶּה,e mizé,adverb,"whence, from where",Biblical,
אֵי פַּעַם,éi pá'am,adverb,Ever.,,
אֵיְדְּס,éyds,noun,"acquired immune deficiency syndrome, AIDS",,
אֵיבָה,evá,noun,"hostility, enmity, hatred.",Biblical,
אֵיבָר,eivár,noun,"an object, an element",,
אֵיבָר,eivár,noun,"organ (the larger part of an organism, composed of tissues that perform similar functions)",,
אֵיבוּס,evús,noun,"feeding receptacle, bowl",,rare
אֵיבוּס,evús,noun,"manger, feeding trough",,
אֵיד,'eid,noun,"calamity, misfortune",,
אֵיזֶה,éize,determiner,"What, which; used in forming interrogative content clauses.",,
אֵיזֶה,éize,determiner,"What, which; used in forming questions.",,
אֵיזֶה,éize,determiner,What; used in forming exclamations.,,
אֵיזֶהוּ חָכָם הַ לּוֹמֵד מִ כָּל אָדָם,éizehu khakhám? haloméd mikól adám,proverb,"A smart person learns from everyone. Literally, “Who is wise? He who learns from every person.”",,
אֵיזוֹ,éizo,determiner,"What, which; used in forming interrogative content clauses.",,
אֵיזוֹ,éizo,determiner,"What, which; used in forming questions.",,
אֵיזוֹ,éizo,determiner,What; used in forming exclamations.,,
אֵיךְ,ekh,adverb,how,,
אֵיךְ,eich,adverb,how?,Both,
אֵיךְ,ekh,adverb,"the manner in which, the way how",,
אֵיךְ,ekh,adverb,"way, manner (followed by שֶׁ־)",,
אֵיךְ מַגִּיעִים לְ תַּחֲנַת הַ רַכֶּבֶת,éykh magi'ím letachanát harakévet?,phrase,how does one get to the train station?,,
אֵיךְ מַגִּיעִים לִ שְׂדֵה הַתְּעוּפָה,éykh magi'ím lis'dé hat'ufá?,phrase,how does one get to the airport?,,
אֵיכְשֶׁהוּ,ékhshehu,adverb,"Somehow, in some way.",,
אֵיכָה,'eikhá,interjection,"how, alas",Biblical,
אֵיכָה,'eikhá,proper noun,"Lamentations (a book of the Old Testament of Bible, and of the Tanakh)",,
אֵיכוּת,ekhút,noun,quality,,
אֵילֵךְ,eiléch,adverb,"further still; (hence)forth, (from a certain point) on",,
אֵילֵךְ,eiléch,adverb,"onward, forth; in a specified direction",,
אֵילַת,ēlát,proper noun,Eilat (a city in southern Israel),,
אֵילוּ,éylu,pronoun,which?,,
אֵימָה,eimá,noun,terror,,
אֵימָתַי,'eimatáy,adverb,when,,poetic
אֵין,en,particle,"Not, is not, are not: a negative present-tense copula.",,Num 26:54
אֵין,en,particle,"There is not, there are not: used in expressing non-existence in the present tense.",,
אֵין,en,particle,Used in expressing non-possession in the present tense.,,
אֵין,en,particle,"Used uninflected, preceding the subject.",,Num 26:54
אֵין,en,particle,With a definite object.,,colloquial
אֵין,en,particle,"With incorporated personal pronoun, preceding the predicate.",,
אֵין בְּעַד מָה,én b'ád má,phrase,think nothing of it (polite reply to gratitude),,
אֵין דִּין וְאֵין דַּיָּן,'éin dín v'éin dayán,phrase,"No one is enforcing law and order (literally, ""there is no law and there is no judge"").",,
אֵין דָּבָר הָעוֹמֵד בִּפְנֵי הָרָצוֹן,ein davár haoméd bif'néi haratzón,phrase,"where there's a will there's a way (literally, ""There is not a thing that stands in the face of desire"")",,
אֵין כָּל חָדָשׁ תַּחַת הַ שָּׁמֶשׁ,en kol chadásh táchat haShámesh,proverb,There is nothing new under the sun.,,
אֵין מַצָּב,en matsáv,phrase,no way!,,slang
אֵין עָשָׁן בְּלִי אֵשׁ,ein ashán b'lí esh,proverb,"where there's smoke, there's fire, there is a real cause for ambiance and rumors (literally, ""there is no smoke without fire"")",,
אֵין קֵץ,en kets,adjective,endless,,
אֵינְךָ,ein'khá,particle,second-person masculine singular personal pronoun-including form of אֵין (ein),,
אֵינְסוֹף,ensóf,noun,"Infinity, the infinite.",,
אֵינְסוֹף,ensóf,noun,infinity,,
אֵינְסוֹפִי,ensofí,adjective,"infinite, unending",,
אֵינֵךְ,einékh,particle,second-person feminine singular personal pronoun-including form of אֵין (ein),,
אֵינָהּ,eináh,particle,third-person feminine singular personal pronoun-including form of אֵין (ein),,
אֵינָם,einám,particle,third-person masculine plural personal pronoun-including form of אֵין (ein),,
אֵינָן,einán,particle,third-person feminine plural personal pronoun-including form of אֵין (ein),,
אֵינוֹ,einó,particle,third-person masculine singular personal pronoun-including form of אֵין (ein),,
אֵינוֹ יוֹדֵעַ צוּרַת א׳,einó yodéa' tzurát álef,phrase,an illiterate (someone who can't read nor write),,
אֵיפָה,efá,noun,"An ephah, a former Hebrew unit of dry volume (about 23 L).",,
אֵיפֹה,efó,adverb,the place where,,
אֵיפֹה,efó,adverb,"there, here (followed by שֶׁ־)",,
אֵיפֹה,efó,adverb,where,Biblical,
אֵיפֹה,efó,adverb,where; at what place,,
אֵיפֹשֶׁהוּ,éfoshehu,adverb,somewhere (in some place),,
אֵיקַרְיוֹט,eykaryót,noun,eukaryote,,
אֵיקַרְיוֹטִי,eykaryoti,adjective,eukaryotic,,
אֵירוֹ,eiro,noun,euro,,
אֵירוֹפָּה,erópa,proper noun,"Europa (52 Europa, a main belt asteroid; not to be confused with the Jovian moon)",,
אֵירוֹפָּה,erópa,proper noun,Europa (a moon in Jupiter),,
אֵירוֹפָּה,erópa,proper noun,Europe (a continent located west of Asia and north of Africa),,
אֵיתָן,ētán,adjective,"ever-flowing, running (as water)",Biblical,
אֵיתָן,ētán,adjective,"strong, firm, enduring, permanent",Biblical,
אֵיתָן,Ētán,proper noun,"a male given name, equivalent to English Ethan",,
אֵיתָ״ן,Etán,noun,Eitan (four prefixes used in Hebrew to form the future tense of a verb),,
אֵל,el,noun,God / deity,Both,
אֵל,el,noun,"god (a deity or supreme being; a supernatural, typically immortal, being with superior powers, to which personhood is attributed)",,
אֵל,el,noun,strength; (only in the phrase יש לאל ידי (“it is in my power”)).,,
אֵל,el,preposition,to / toward,Biblical,
אֵל,el,proper noun,"El, the chief deity in Canaanite religion",,
אֵל,el,proper noun,"God, the God of Israel.",,
אֵל שַׁדַּי,El Shadáy,proper noun,God Almighty,,
אֵלִי,Éli,proper noun,"a diminutive of the male given name אֵלִיָּהוּ (Eliyáhu), equivalent to English Eli",,
אֵלִיָּה,'Eliyá,proper noun,"a male given name, equivalent to English Elijah",,
אֵלִיָּהוּ,'Eliyáhu,proper noun,Elijah (an Israelite prophet in the Abrahamic religions),Biblical,
אֵלִיָּהוּ,'Eliyáhu,proper noun,"a male given name, equivalent to English Elijah or Elias",,
אֵלִיפְּסוֹאִיד,elipso'id,noun,An ellipsoid.,,
אֵלֵמֶנְט,element,noun,An element.,,
אֵלֶם,élem,noun,"silence, speechlessness",Biblical,
אֵלֶקְטְרוֹמַגְנֵטִי,elektromagnéti,adjective,electromagnetic,,
אֵלַת הַ מַּסְטִיק,elát hamástik,noun,mastic (the shrub or tree Pistacia lentiscus),,
אֵלָה,elá,noun,A goddess.,,
אֵלָה,elá,noun,"A terebinth, a tree of the genus Pistacia.",,
